X,Y,PLOTID,LON,LAT,strate,prob_chang,ID,INT1_2000,INT1_2010,INT1_2015,INT1_2020,INT1_2021,CHG_20_21,CHG_00_10,CHG_10_15,CHG_15_20,IC,COMMENT.,P-I_name
49534.6605197171,568818.388616445,"63667","-7.06103803784638","5.13320167452816","3","0.523026984126984","346","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,AMO
48643.9117470206,735180.853304641,"63833","-7.08000235835684","6.6342957516014","2","0.224252380952381","347","23","23","21","21","21",Stable,Stable,Stable,Stable,"2","cht 00-10 : qualité de l'image, peut être 21",AMO
48452.4940502876,766249.394110523,"63864","-7.08409109686011","6.91461111185694","2","0.351580952380952","348","12","12","12","12","12",Stable,Stable,Stable,Stable,"1",,AMO
49391.1469935499,776262.84761449,"64509","-7.07639674108845","7.00503472567392","1","0.0814380952380952","349","23","23","12","23","23",Stable,Stable,Gain,Degradation,"2",cht 00-10 : qualité de l'image,AMO
49274.9089631088,794302.631779002,"64527","-7.07887971175687","7.167796353287","1","0.0459523809523809","350","30","30","30","30","30",Stable,Stable,Stable,Stable,"1",,AMO
49041.2908995158,829380.290526025,"64562","-7.08387535749171","7.48427398172908","1","0.175004761904762","351","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,AMO
51706.4863289865,531726.657258665,"64899","-7.03945082279979","4.79861015464695","2","0.377463492063492","352","14","14","14","14","14",Stable,Stable,Stable,Stable,"2",Qualité des images,AMO
51486.8050020139,579829.239625685,"64947","-7.04410171055863","5.23267416490831","1","0.008","353","11","11","11","11","11",Stable,Stable,Stable,Stable,"1",,AMO
51094.8146644178,656994.933592051,"65024","-7.0524159498635","5.92897244622255","1","0.0265333333333333","354","11","11","11","11","11",Stable,Stable,Stable,Stable,"1",,AMO
50761.4912482535,716122.941310618,"65083","-7.05950140453023","6.4624879922765","2","0.279277777777778","355","30","30","30","30","30",Stable,Stable,Stable,Stable,"1",,AMO
50050.1740206835,828368.768522497,"65195","-7.07466990669482","7.47523182580739","2","0.380947619047619","356","23","99","21","21","21",Stable,Stable,Stable,Stable,"3",2010 pas d'image/ hésitation avec 14,AMO
52739.0043857684,524705.90472096,"65525","-7.02979288627482","4.73530868143196","3","0.51144126984127","357","22","22","22","22","22",Stable,Stable,Stable,Stable,"2",Probleme coupe,AMO
52488.8695753631,579822.785423676,"65580","-7.03508121536573","5.23267416490831","1","0.0165","358","11","11","11","11","11",Stable,Stable,Stable,Stable,"1",,AMO
52275.974859516,622914.648455889,"65623","-7.03958853076785","5.62151809520146","1","0.0495238095238095","359","11","11","11","11","11",Stable,Stable,Stable,Stable,"1",,AMO
51885.4701431515,695069.511998669,"65695","-7.04787125915496","6.27259386052472","2","0.238987301587302","360","30","30","30","30","30",Stable,Stable,Stable,Stable,"1",,AMO
51804.5940371736,709099.787186537,"65709","-7.0495891200699","6.39919010341896","2","0.356973015873016","361","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,AMO
51576.9642226822,747182.246879419,"65747","-7.05442865344897","6.74280530548303","1","0.18437619047619","362","23","23","23","23","23",Stable,Stable,Stable,Stable,"1",,AMO
53749.6856686269,522695.867882035,"66154","-7.02059716487234","4.71722252493565","3","0.589769841269841","363","13","13","13","13","13",Stable,Stable,Stable,Stable,"2",,AMO
52910.3330591187,691053.178096736,"66322","-7.03835059855737","6.23642339281422","1","0.182323809523809","364","23","23","23","23","23",Stable,Stable,Stable,Stable,"1",,AMO
52789.1045974809,712098.34965032,"66343","-7.04092221549548","6.42631778920904","1","0.148895238095238","365","14","14","14","14","14",Stable,Stable,Stable,Stable,"2",,AMO
54768.8839146215,518681.698399602,"66778","-7.01122224760254","4.68105018378569","3","0.529942857142857","366","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,AMO
