PLOTID,LAT,LON
0,719792.5346504033,-946952.8498986461
3,714792.5346504033,-941952.8498986461
4,719792.5346504033,-941952.8498986461
5,724792.5346504033,-941952.8498986461
8,714792.5346504033,-936952.8498986461
9,719792.5346504033,-936952.8498986461
10,724792.5346504033,-936952.8498986461
11,729792.5346504033,-936952.8498986461
15,714792.5346504033,-931952.8498986461
16,719792.5346504033,-931952.8498986461
17,724792.5346504033,-931952.8498986461
18,729792.5346504033,-931952.8498986461
19,734792.5346504033,-931952.8498986461
21,704792.5346504033,-926952.8498986461
22,709792.5346504033,-926952.8498986461
23,714792.5346504033,-926952.8498986461
24,719792.5346504033,-926952.8498986461
25,724792.5346504033,-926952.8498986461
26,729792.5346504033,-926952.8498986461
28,704792.5346504033,-921952.8498986461
29,709792.5346504033,-921952.8498986461
30,714792.5346504033,-921952.8498986461
31,719792.5346504033,-921952.8498986461
32,724792.5346504033,-921952.8498986461
35,704792.5346504033,-916952.8498986461
36,709792.5346504033,-916952.8498986461
37,714792.5346504033,-916952.8498986461
38,719792.5346504033,-916952.8498986461
39,724792.5346504033,-916952.8498986461
40,729792.5346504033,-916952.8498986461
41,699792.5346504032,-911952.8498986461
42,704792.5346504033,-911952.8498986461
43,709792.5346504033,-911952.8498986461
44,714792.5346504033,-911952.8498986461
45,719792.5346504033,-911952.8498986461
46,724792.5346504033,-911952.8498986461
47,729792.5346504033,-911952.8498986461
48,734792.5346504033,-911952.8498986461
51,699792.5346504032,-906952.8498986461
52,704792.5346504033,-906952.8498986461
53,709792.5346504033,-906952.8498986461
54,714792.5346504033,-906952.8498986461
55,719792.5346504033,-906952.8498986461
56,724792.5346504033,-906952.8498986461
57,729792.5346504033,-906952.8498986461
58,734792.5346504033,-906952.8498986461
59,739792.5346504033,-906952.8498986461
61,694792.5346504032,-901952.8498986461
62,699792.5346504032,-901952.8498986461
63,704792.5346504033,-901952.8498986461
64,709792.5346504033,-901952.8498986461
65,714792.5346504033,-901952.8498986461
66,719792.5346504033,-901952.8498986461
67,724792.5346504033,-901952.8498986461
68,729792.5346504033,-901952.8498986461
69,734792.5346504033,-901952.8498986461
70,739792.5346504033,-901952.8498986461
71,744792.5346504033,-901952.8498986461
74,699792.5346504032,-896952.8498986461
75,704792.5346504033,-896952.8498986461
76,709792.5346504033,-896952.8498986461
77,714792.5346504033,-896952.8498986461
78,719792.5346504033,-896952.8498986461
79,724792.5346504033,-896952.8498986461
80,729792.5346504033,-896952.8498986461
81,734792.5346504033,-896952.8498986461
82,739792.5346504033,-896952.8498986461
83,744792.5346504033,-896952.8498986461
84,749792.5346504033,-896952.8498986461
89,699792.5346504032,-891952.8498986461
90,704792.5346504033,-891952.8498986461
91,709792.5346504033,-891952.8498986461
92,714792.5346504033,-891952.8498986461
93,719792.5346504033,-891952.8498986461
94,724792.5346504033,-891952.8498986461
95,729792.5346504033,-891952.8498986461
96,734792.5346504033,-891952.8498986461
97,739792.5346504033,-891952.8498986461
98,744792.5346504033,-891952.8498986461
99,749792.5346504033,-891952.8498986461
100,754792.5346504033,-891952.8498986461
101,759792.5346504033,-891952.8498986461
102,764792.5346504033,-891952.8498986461
104,699792.5346504032,-886952.8498986461
105,704792.5346504033,-886952.8498986461
106,709792.5346504033,-886952.8498986461
107,714792.5346504033,-886952.8498986461
108,719792.5346504033,-886952.8498986461
109,724792.5346504033,-886952.8498986461
110,729792.5346504033,-886952.8498986461
111,734792.5346504033,-886952.8498986461
112,739792.5346504033,-886952.8498986461
113,744792.5346504033,-886952.8498986461
114,749792.5346504033,-886952.8498986461
115,754792.5346504033,-886952.8498986461
116,759792.5346504033,-886952.8498986461
117,764792.5346504033,-886952.8498986461
120,699792.5346504032,-881952.8498986461
121,704792.5346504033,-881952.8498986461
122,709792.5346504033,-881952.8498986461
123,714792.5346504033,-881952.8498986461
124,719792.5346504033,-881952.8498986461
125,724792.5346504033,-881952.8498986461
126,729792.5346504033,-881952.8498986461
127,734792.5346504033,-881952.8498986461
128,739792.5346504033,-881952.8498986461
129,744792.5346504033,-881952.8498986461
130,749792.5346504033,-881952.8498986461
131,754792.5346504033,-881952.8498986461
132,759792.5346504033,-881952.8498986461
133,764792.5346504033,-881952.8498986461
134,769792.5346504033,-881952.8498986461
138,699792.5346504032,-876952.8498986461
139,704792.5346504033,-876952.8498986461
140,709792.5346504033,-876952.8498986461
141,714792.5346504033,-876952.8498986461
142,719792.5346504033,-876952.8498986461
143,724792.5346504033,-876952.8498986461
144,729792.5346504033,-876952.8498986461
145,734792.5346504033,-876952.8498986461
146,739792.5346504033,-876952.8498986461
147,744792.5346504033,-876952.8498986461
148,749792.5346504033,-876952.8498986461
149,754792.5346504033,-876952.8498986461
150,759792.5346504033,-876952.8498986461
151,764792.5346504033,-876952.8498986461
152,769792.5346504033,-876952.8498986461
153,774792.5346504033,-876952.8498986461
157,694792.5346504032,-871952.8498986461
158,699792.5346504032,-871952.8498986461
159,704792.5346504033,-871952.8498986461
160,709792.5346504033,-871952.8498986461
161,714792.5346504033,-871952.8498986461
162,719792.5346504033,-871952.8498986461
163,724792.5346504033,-871952.8498986461
164,729792.5346504033,-871952.8498986461
165,734792.5346504033,-871952.8498986461
166,739792.5346504033,-871952.8498986461
167,744792.5346504033,-871952.8498986461
168,749792.5346504033,-871952.8498986461
169,754792.5346504033,-871952.8498986461
170,759792.5346504033,-871952.8498986461
171,764792.5346504033,-871952.8498986461
172,769792.5346504033,-871952.8498986461
173,774792.5346504033,-871952.8498986461
174,779792.5346504033,-871952.8498986461
177,674792.5346504032,-866952.8498986461
178,679792.5346504032,-866952.8498986461
180,689792.5346504032,-866952.8498986461
181,694792.5346504032,-866952.8498986461
182,699792.5346504032,-866952.8498986461
183,704792.5346504033,-866952.8498986461
184,709792.5346504033,-866952.8498986461
185,714792.5346504033,-866952.8498986461
186,719792.5346504033,-866952.8498986461
187,724792.5346504033,-866952.8498986461
188,729792.5346504033,-866952.8498986461
189,734792.5346504033,-866952.8498986461
190,739792.5346504033,-866952.8498986461
191,744792.5346504033,-866952.8498986461
192,749792.5346504033,-866952.8498986461
193,754792.5346504033,-866952.8498986461
194,759792.5346504033,-866952.8498986461
195,764792.5346504033,-866952.8498986461
196,769792.5346504033,-866952.8498986461
197,774792.5346504033,-866952.8498986461
198,779792.5346504033,-866952.8498986461
201,664792.5346504032,-861952.8498986461
202,669792.5346504032,-861952.8498986461
203,674792.5346504032,-861952.8498986461
204,679792.5346504032,-861952.8498986461
205,684792.5346504032,-861952.8498986461
206,689792.5346504032,-861952.8498986461
207,694792.5346504032,-861952.8498986461
208,699792.5346504032,-861952.8498986461
