LON,LAT,PLOTID,aspect,dw_class_mode,dw_tree_prob__max,dw_tree_prob__min,dw_tree_prob__stdDev,dw_tree_prob_mean,elevation,esa_lc20,esri_lc20,gfc_gain,gfc_loss,gfc_lossyear,gfc_tc00,lang_tree_height,point_id,potapov_tree_height,slope,tmf_2000,tmf_2001,tmf_2002,tmf_2003,tmf_2004,tmf_2005,tmf_2006,tmf_2007,tmf_2008,tmf_2009,tmf_2010,tmf_2011,tmf_2012,tmf_2013,tmf_2014,tmf_2015,tmf_2016,tmf_2017,tmf_defyear,tmf_degyear,tmf_main,tmf_sub,point_idx,images,ccdc_change_date,ccdc_magnitude,ltr_magnitude,ltr_dur,ltr_yod,ltr_rate,ltr_end_year,bfast_change_date,bfast_magnitude,bfast_means,ewma_jrc_date,ewma_jrc_change,ewma_jrc_magnitude,mosum_jrc_date,mosum_jrc_change,mosum_jrc_magnitude,cusum_jrc_date,cusum_jrc_change,cusum_jrc_magnitude,mon_images,cusum_change_date,cusum_confidence,cusum_magnitude,ts_mean,ts_sd,ts_min,ts_max,bs_slope_mean,bs_slope_sd,bs_slope_max,bs_slope_min,geometry,Kmeans
-7.06596143703399,6.238026208949708,1100,58.0,1.0,74.0,73.0,0.0,73.0,186.69000244140625,10.0,2.0,0.0,0.0,,72.0,26.0,1100,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,26,75,1970.003,0.0,0.0,0.0,0.0,0.0,0.0,2016.948,-36.35580825805664,1079.1707763671875,12802.0,1.0,-47.341273931862446,11234.0,1.0,-4.88952917327166,11090.0,1.0,-1.2722707968036775,65,2000.367,0.398068904876709,4233.640625,9782.144871794872,285.06797683736056,8670.5,10000.0,20.27059224981905,5.956218305613457,38.47085834800888,1.9426123195188088,POINT (-7.06596143703399 6.238026208949708),4
-8.561447958835098,6.509303473272747,0,288.0,1.0,74.0,65.0,2.0,72.0,240.49000549316406,10.0,2.0,0.0,0.0,,72.0,29.0,0,20.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2003.0,20.0,21.0,221,69,1970.003,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,2013.986,0.045869309455156326,6316.732421875,9448.25655737705,690.1670352866363,6326.0,10000.0,15.945025289065665,22.67047656750682,68.63569494539867,-47.074953945007096,POINT (-8.561447958835098 6.509303473272747),4
-7.201505954288769,6.238026208949708,885,331.0,1.0,74.0,73.0,0.0,73.0,199.6199951171875,10.0,2.0,0.0,0.0,,76.0,33.0,885,29.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,123,80,1970.003,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,2003.038,0.4704606533050537,4716.2734375,9778.725821596247,266.03108974403153,8560.0,10000.0,4.5236761484591534,3.564396743418185,19.064542972257435,-7.167398157247131,POINT (-7.201505954288769 6.238026208949708),4
-7.058468070903285,5.650249402919459,1087,317.0,1.0,74.0,73.0,0.0,73.0,157.0399932861328,10.0,2.0,0.0,0.0,,74.0,36.0,1087,25.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,113,46,1970.003,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,2001.285,0.26177510619163513,4707.27734375,9734.463063063064,517.7363967344102,7836.0,10000.0,28.61874859017955,11.804144552596473,61.33311024853675,-3.0245281795822807,POINT (-7.058468070903285 5.650249402919459),4
-7.330415730064569,5.740677406635269,667,287.0,1.0,74.0,74.0,0.0,74.0,148.4199981689453,10.0,2.0,0.0,0.0,,55.0,29.0,667,28.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,32,66,1970.003,0.0,0.0,0.0,0.0,0.0,0.0,2016.948,-157.86734008789062,-711.7841186523438,0.0,0.0,-41.45434619010794,15106.0,1.0,-3.8347868223692294,0.0,0.0,-12.436102766051569,56,2009.959,-0.03374356031417847,1421.49609375,9902.748511904761,209.0967257681292,8609.0,10000.0,-1.9949344916829668,3.1357931919561657,7.167208502524555,-10.687182393493485,POINT (-7.330415730064569 5.740677406635269),4
-7.286432523247728,5.831105125070433,737,168.0,1.0,73.0,73.0,0.0,73.0,181.02999877929688,10.0,2.0,0.0,0.0,,74.0,32.0,737,32.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,17,60,1970.003,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,2016.356,0.037061069160699844,4542.0830078125,9393.36217948718,533.9826880968428,7389.0,10000.0,-25.39403589245545,12.162672924150149,14.201646083658876,-62.05842520174686,POINT (-7.286432523247728 5.831105125070433),4
-7.059017726791902,5.695463440160405,1088,186.0,1.0,74.0,74.0,0.0,74.0,189.67999267578125,10.0,2.0,0.0,0.0,,74.0,35.0,1088,30.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,109,50,1970.003,0.0,0.0,0.0,0.0,0.0,0.0,2016.948,-95.99988555908203,-111.6930923461914,0.0,0.0,33.37966196851954,11090.0,1.0,-5.6287348216007,11090.0,1.0,-4.98386332593658,40,2000.367,0.06553967297077179,1917.396484375,9848.126666666667,260.8557757331306,8620.0,10000.0,14.785728037719563,7.248040676591245,35.17122646532323,-6.0162976528399055,POINT (-7.059017726791902 5.695463440160405),4
-7.542717747480224,4.610308292031638,351,96.0,,,,,,24.1200008392334,10.0,2.0,0.0,0.0,,55.0,29.0,351,19.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,79,59,1970.003,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,2007.375,-0.0485578328371048,5180.9716796875,8963.806289308177,799.3052189247089,6273.0,10000.0,18.631361146428517,22.473374962961984,82.62984259436435,-48.69637133375109,POINT (-7.542717747480224 4.610308292031638),4
-7.148735253532237,5.650249402919458,943,197.0,1.0,74.0,74.0,0.0,74.0,171.7899932861328,10.0,2.0,0.0,0.0,,76.0,37.0,943,33.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,78,61,1970.003,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,12834.0,1.0,348.5883783043454,11090.0,1.0,-8.183074072396328,11090.0,1.0,-7.190416990706643,51,2009.038,0.20858041942119598,2208.1171875,9860.507516339869,219.4757141445906,8850.5,10000.0,1.3074092584249783,4.4126115301956865,13.553385381939997,-12.702828672512677,POINT (-7.148735253532237 5.650249402919458),4
-7.054230930368947,5.288534623966753,1079,227.0,1.0,74.0,74.0,0.0,74.0,223.9600067138672,10.0,2.0,0.0,0.0,,74.0,38.0,1079,27.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,73,51,1970.003,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,2004.178,-0.03309277817606926,2109.83203125,9808.583333333334,318.89300920959573,8766.0,10000.0,9.042645572914218,6.610714714338108,29.82850264871954,-11.781622477079598,POINT (-7.054230930368947 5.288534623966753),4
